State,Year,EVs_per_1000_forecast_panel_acc,Outlets_per_100k_proj
Rhode Island,2027,166.68847923295033,879.8663907827577
Rhode Island,2028,314.71305511716554,1633.6217061340972
South Carolina,2024,9.4312476279365,47.34865154022831
South Carolina,2025,18.026758017675114,87.91083023808166
South Carolina,2026,33.415573106731465,163.2214185990638
South Carolina,2027,61.41731457807111,303.0483436152355
South Carolina,2028,112.83710057505601,562.6608281939331
South Dakota,2024,8.150021393704698,46.90679958994867
South Dakota,2025,16.671530952457466,87.09045688999599
South Dakota,2026,31.922950903982894,161.6982558523036
South Dakota,2027,59.66959491809598,300.2203327363694
South Dakota,2028,110.61574906862043,557.4101446750535
Tennessee,2024,10.837937312561252,57.79120740974397
Tennessee,2025,21.18235434732244,107.2992125136933
Tennessee,2026,39.81831228356642,199.21925016083898
Tennessee,2027,73.8489271084668,369.8844446745777
Tennessee,2028,136.4623425895241,686.753425192415
Texas,2024,11.99177666847207,52.187314200742314
Texas,2025,21.397660436695467,96.89463099883591
Texas,2026,38.29107162697151,179.90137373781596
Texas,2027,69.08635183972227,334.01751922810007
Texas,2028,125.69281796530694,620.1603736161034
Utah,2024,20.694228022613792,117.82058731596135
Utah,2025,41.09229310354411,218.75397319994323
Utah,2026,78.3945597499587,406.1539827707065
Utah,2027,147.0823536667965,754.0939956767384
Utah,2028,274.04272072035076,1400.10384838881
Vermont,2024,36.807858149384174,279.9138370123699
Vermont,2025,84.35310492123715,519.7076792351214
Vermont,2026,172.0587347773815,964.9257597937888
Vermont,2027,334.32895105305374,1791.5489016516708
Vermont,2028,635.0410127724258,3326.3154542534253
Virginia,2024,18.27280388505844,97.03497555581136
Virginia,2025,35.18971981223548,180.16194729422705
Virginia,2026,66.02864056950611,334.5013183847187
Virginia,2027,122.7161327935325,621.0586290920949
Virginia,2028,227.3958973250446,1153.1010479490333
Washington,2024,28.900402773788105,137.45463520297977
Washington,2025,52.58675448180166,255.2079247811316
Washington,2026,95.99428491174903,473.8369482768799
Washington,2027,176.0175401474134,879.758940655538
Washington,2028,324.02412041409485,1633.4222066850994
West Virginia,2024,7.861361558110804,46.770813155754226
West Virginia,2025,16.360096273102396,86.83797493027232
West Virginia,2026,31.569230850948564,161.22948012211015
West Virginia,2027,59.23736487193305,299.3499708084958
West Virginia,2028,110.03775185795746,555.7941696219525
Wisconsin,2024,9.049164016474233,43.76808897597825
Wisconsin,2025,17.045006112379102,81.26290643237027
Wisconsin,2026,31.320434951489382,150.87841658932214
Wisconsin,2027,57.25498535350651,280.13145962784694
Wisconsin,2028,104.8366792981657,520.1117326597245
Wyoming,2024,11.548385355677409,79.9704802933331
Wyoming,2025,25.607360225950284,148.47880749364126
Wyoming,2026,51.14002699475229,275.67617693264856
Wyoming,2027,97.97555557449034,511.83974205514556
Wyoming,2028,184.36347281423878,950.3175953106866
