state,year,ev_count,ports_total,population,gas_real_2023,ev_per_1000,ports_per_100k
Maine,2021,3000,639.0,1378931.0,3.355,2.1755983439345403,46.34024472580572
Maryland,2021,25600,3430.0,6179403.0,3.355,4.142795024050058,55.5069802050457
Massachusetts,2021,30500,4871.0,7000474.0,3.355,4.356847836303656,69.58100265782004
Michigan,2021,17500,1799.0,10041351.0,3.355,1.742793375114564,17.915915896177715
Minnesota,2021,15000,1385.0,5718660.0,3.355,2.6229920995477958,24.21896038582465
Mississippi,2021,1300,433.0,2947209.0,3.355,0.44109528710043977,14.691866101114648
Missouri,2021,10000,2188.0,6171374.0,3.355,1.620384698772105,35.45401720913365
Montana,2021,1600,212.0,1106522.0,3.355,1.4459721541912407,19.159131043033938
Nebraska,2021,2700,377.0,1964537.0,3.355,1.374369635186306,19.19027231352731
Nevada,2021,17400,1361.0,3148141.0,3.355,5.527071373232648,43.231862867641574
New Hampshire,2021,4000,357.0,1387677.0,3.355,2.8825151674344967,25.72644786935288
New Jersey,2021,47800,2021.0,9270541.0,3.355,5.156117641893823,21.800237979638943
New Mexico,2021,4200,461.0,2117333.0,3.355,1.9836275163141555,21.772673452876802
New York,2021,51900,7646.0,19848276.0,3.355,2.6148366739761175,38.52223739734373
North Carolina,2021,25200,2789.0,10564320.0,3.355,2.3853877959016767,26.400184772895937
North Dakota,2021,400,139.0,777966.0,3.355,0.5141612872541987,17.86710473208341
Ohio,2021,21200,2224.0,11767344.0,3.355,1.8015960101106927,18.899761917387643
Oklahoma,2021,7100,1089.0,3992238.0,3.355,1.7784510843291408,27.277932828654006
Oregon,2021,30300,2433.0,4254280.0,3.355,7.122239250825052,57.18946566751601
Pennsylvania,2021,26800,2688.0,13015571.0,3.355,2.059072168251397,20.652186523357294
Rhode Island,2021,2500,628.0,1097246.0,3.355,2.27843163702579,57.23420272208784
South Carolina,2021,7400,870.0,5194274.0,3.355,1.4246456771437164,16.74921269074369
South Dakota,2021,700,160.0,896492.0,3.355,0.780821245476814,17.84734275375575
Tennessee,2021,12200,1637.0,6965740.0,3.355,1.751429137464218,23.50073359040102
Texas,2021,80900,5501.0,29570351.0,3.355,2.7358484855320113,18.603093348469216
Utah,2021,16500,1980.0,3339738.0,3.355,4.940507309255995,59.28608771107195
Vermont,2021,3400,878.0,647210.0,3.355,5.253318088410253,135.65921416541772
Virginia,2021,30700,3302.0,8658910.0,3.355,3.545480897711144,38.13413004639152
Washington,2021,66800,4325.0,7743760.0,3.355,8.626300401871958,55.851421015114106
West Virginia,2021,1000,306.0,1785618.0,3.355,0.560030196828213,17.13692402294332
Wisconsin,2021,9300,961.0,5881608.0,3.355,1.5812002431987986,16.33906917972092
Wyoming,2021,500,184.0,579636.0,3.355,0.8626103278609334,31.744060065282348
United States,2021,1454400,,,3.355,,
Alabama,2022,8700,851.0,5076181.0,4.21682,1.7138868767681845,16.764571633675
Alaska,2022,2000,113.0,734442.0,4.21682,2.723155810806027,15.385830331054052
Arizona,2022,65800,2661.0,7377566.0,4.21682,8.918930715089502,36.06880643290754
Arkansas,2022,5100,590.0,3047704.0,4.21682,1.6733908542299383,19.358835372463993
California,2022,903600,43589.0,39142414.0,4.21682,23.084932881247436,111.36001984956778
Colorado,2022,59900,4408.0,5850935.0,4.21682,10.237679960553313,75.33838608701004
Connecticut,2022,22000,1643.0,3617925.0,4.21682,6.080833627009958,45.412771132624364
Delaware,2022,5400,367.0,1020625.0,4.21682,5.290875688916105,35.95835884874464
District of Columbia,2022,5900,,676725.0,4.21682,8.71846023126085,
Florida,2022,168000,7818.0,22379312.0,4.21682,7.506933189009564,34.93404980456951
Georgia,2022,60100,4131.0,10931805.0,4.21682,5.497719726980128,37.78881895533263
Hawaii,2022,19800,938.0,1440359.0,4.21682,13.74657290300543,65.12265344959138
Idaho,2022,5900,382.0,1944299.0,4.21682,3.034512695835363,19.647183895069634
Illinois,2022,66900,3351.0,12621821.0,4.21682,5.30034453824056,26.549259413518858
Indiana,2022,17700,1093.0,6844545.0,4.21682,2.5860009686546004,15.96892123581626
Iowa,2022,6200,659.0,3202820.0,4.21682,1.9357940814657084,20.575617736869383
Kansas,2022,7600,1045.0,2937324.0,4.21682,2.587389065693808,35.57659965328986
Kentucky,2022,7600,629.0,4519233.0,4.21682,1.6817012975431893,13.918291002035081
Louisiana,2022,5900,475.0,4593687.0,4.21682,1.2843713557323342,10.34027786394676
Maine,2022,5000,869.0,1390922.0,4.21682,3.594737878903346,62.47654433534015
Maryland,2022,46100,3964.0,6192440.0,4.21682,7.444561432973109,64.01353908959958
Massachusetts,2022,49400,5748.0,7022468.0,4.21682,7.034563916845189,81.8515655749517
Michigan,2022,33100,2703.0,10050877.0,4.21682,3.2932449576290703,26.89317559054797
Minnesota,2022,24300,1533.0,5721621.0,4.21682,4.24704817043981,26.79310635919436
Mississippi,2022,2400,440.0,2941939.0,4.21682,0.8157884986738339,14.956122475686954
Missouri,2022,17900,2216.0,6179414.0,4.21682,2.89671480175952,35.86100559049774
Montana,2022,3300,253.0,1122095.0,4.21682,2.940927461578565,22.547110538768997
Nebraska,2022,4600,446.0,1972246.0,4.21682,2.332366246401311,22.613811867282276
Nevada,2022,32900,1670.0,3176116.0,4.21682,10.358563730040087,52.57994355369892
New Hampshire,2022,7000,466.0,1396678.0,4.21682,5.011892504929555,33.364884389959606
New Jersey,2022,87000,2713.0,9295227.0,4.21682,9.359642319655023,29.18702254393572
New Mexico,2022,7100,528.0,2113868.0,4.21682,3.3587716924614024,24.977907797459444
New York,2022,84700,9535.0,19703747.0,4.21682,4.298674764754136,48.39181095859584
North Carolina,2022,45600,3040.0,10710793.0,4.21682,4.2573878516744745,28.38258567782983
North Dakota,2022,600,172.0,781057.0,4.21682,0.7681897736016705,22.021440176581223
Ohio,2022,34100,2818.0,11777874.0,4.21682,2.8952593651451863,23.926219621639696
Oklahoma,2022,16300,1093.0,4026229.0,4.21682,4.048453279731481,27.146990397217845
